metal,conc,Mean_r,SE_r,Mean_OD,SE_OD,Mean_changeOD,trial
CuMn,3,0.20954323223983568,0.0013862287189437118,1.1312222222222221,0.022564790118377295,1.1403333333333334,one
CuMn,4,0.15181658479061313,0.005451792707151,0.7406111111111111,0.003772872632522148,0.7483333333333334,one
CuMn,5,0.08318636699478077,0.005161890827301031,0.2635,0.029988114929702353,0.3083333333333333,one
CuNi,1,0.012029099416555054,0.005431015417185428,0.008388888888888881,0.0014603821586772147,0.042333333333333334,one
CuNi,2,0.0277337163863874,0.011040766032967261,0.004333333333333328,0.0024551533104427005,0.07766666666666666,one
CuNi,3,0.024305127418096834,0.010411362067058302,0.004833333333333328,0.0011547005383792366,0.07066666666666666,one
CuNi,4,0.012965645320347125,0.005648044667292145,0.025444444444444447,0.006074638636816296,0.08800000000000001,one
CuNi,5,0.022685032952107772,0.00204419579218484,0.04133333333333334,0.0015485955405296042,0.10433333333333333,one
CuZn,1,0.0181180631497746,0.00383381763358063,0.016388888888888887,0.0019253026056848407,0.06600000000000002,one
CuZn,2,0.03015117191473848,0.00334915129823927,0.026944444444444455,0.0035802096634928895,0.11033333333333334,one
CuZn,3,0.020131069056184,0.0047316930392927855,0.02722222222222222,0.0013064417795894299,0.07066666666666667,one
CuZn,4,0.023235230524794773,0.006232065695728459,0.04461111111111111,0.006445162795212399,0.106,one
CuZn,5,0.024220768050457288,0.003789149712323872,0.03716666666666666,0.00383816121098129,0.08600000000000001,one
Mn,1,0.2951084929703196,0.0034735992360257484,1.3895000000000002,0.0628333333333333,1.4045,one
Mn,2,0.19475013886272038,0.009704643941232936,0.9801666666666666,0.0656666666666667,1.008,one
Mn,3,0.13157959965759414,4.909869316671589e-4,1.1064166666666666,0.039416666666666544,1.126,one
Mn,4,0.08867451178895536,0.012464522602950714,0.73125,0.0052500000000000316,0.7555000000000001,one
Mn,5,0.05341679749637506,0.006970443311438146,0.445,0.011666666666666657,0.46149999999999997,one
MnNi,1,0.2670242986465195,0.010218883413685731,1.4258333333333333,0.02378783535992942,1.4443333333333335,one
MnNi,2,0.16623554064028784,0.007873329083157977,0.9056666666666667,0.037463686121066354,0.919,one
MnNi,3,0.07514262365300912,0.00653654497016106,0.6064999999999999,0.023369218437302757,0.6286666666666667,one
MnNi,4,0.05719441508178491,0.01447941496579489,0.13366666666666666,0.026387251411184098,0.157,one
MnNi,5,0.02301035690877029,0.006330971640702811,0.020944444444444432,0.004044123918922974,0.04699999999999999,one
MnZn,1,0.23971817367426002,0.004884732765432734,1.3115,0.011933069519119925,1.3186666666666667,one
MnZn,2,0.19717974332570753,0.004104997649984774,1.2975555555555556,0.021514278921936077,1.3206666666666667,one
MnZn,3,0.1559239582375286,0.008319559564786628,1.142277777777778,0.026743696615127332,1.1723333333333334,one
MnZn,4,0.09889304519172802,0.008749181506708661,1.0113333333333334,0.03552985182027044,1.036,one
MnZn,5,0.07558392187689833,0.012929065968098436,0.5755555555555555,0.00953761235229844,0.6083333333333333,one
Ni,1,0.3363630011410379,0.008971540010893592,1.4544166666666667,0.0225833333333334,1.474,one
Ni,2,0.2895571447308898,0.011940350788663954,1.42,0.04899999999999993,1.4420000000000002,one
Ni,3,0.16707128921433778,0.00589254005589622,0.9219166666666667,0.05675000000000008,0.944,one
Ni,4,0.07813082089080936,0.0052525591653918005,0.559,0.01766666666666661,0.5740000000000001,one
Ni,5,0.04842949062333623,0.004868752639941576,0.012833333333333329,0.007833333333333324,0.08300000000000002,one
NiZn,1,0.10105132767594208,0.006302030281399115,0.6361111111111112,0.024298554547265108,0.664,one
NiZn,2,0.05875063521602423,0.011947679921764936,0.1512777777777778,0.0024463376507004343,0.17300000000000001,one
NiZn,3,0.04705671136825036,0.012773562466320817,0.05266666666666666,0.00731310340973526,0.09066666666666666,one
NiZn,4,0.02377165214673127,0.009127916295851173,0.020555555555555566,0.007058835633008253,0.06733333333333334,one
NiZn,5,0.012749576553764777,0.0036802095456275954,0.016222222222222235,0.005660399584551445,0.049999999999999996,one
YPAD,0,0.3407763896645654,0.0034036225118093196,1.4385666666666668,0.012187265667262855,1.4520000000000002,one
Zn,1,0.2465387520356188,0.00528901661911442,1.3465833333333332,0.010583333333333278,1.3664999999999998,one
Zn,2,0.21802681822169487,0.006006704883487756,1.2211666666666667,0.010999999999999897,1.238,one
Zn,3,0.16569397930932261,0.004456461238921946,0.9674166666666666,0.033249999999999946,0.986,one
Zn,4,0.10049248476695637,0.003815653137895225,0.6575,0.010166666666666713,0.6739999999999999,one
