"","trial","combo","conc","met1_r","combo_r","met2_r","delta_r"
"59","two","CoCu","4",0.0978703024789862,0.00861381143820357,0.149214344061233,0.930276433126722
"60","two","CoCu","5",0.0380607816541367,0.00594176958375788,0.00988855650696507,0.752164688330232
"61","one","CoMn","1",0.282338118312575,0.223617463804282,0.29510849297032,0.225495623543523
"62","one","CoMn","2",0.248491178531096,0.13418958583015,0.19475013886272,0.394507774594831
"63","one","CoMn","3",0.118221048073242,0.0827722715387077,0.131579599657594,0.337293379415924
"64","one","CoMn","4",0.0979084490509985,0.0727931999455755,0.0886745117889554,0.219722962719884
"65","one","CoMn","5",0.0241230208364307,0.0197104034427298,0.0534167974963751,0.491605632653626
"66","two","CoMn","1",0.267391868566391,0.217191449621475,0.270009283653838,0.19169711965013
"67","two","CoMn","2",0.204425254810014,0.113254820368243,0.19460676478622,0.432352218336556
"68","two","CoMn","3",0.131858745011648,0.0831150452832811,0.13010547147696,0.365447339355256
"69","two","CoMn","4",0.0978703024789862,0.0370835247472575,0.0865438507580141,0.597823441462223
"70","two","CoMn","5",0.0380607816541367,0.0230069471067,0.0516089932900421,0.486851681717229
"71","one","CoNi","1",0.282338118312575,0.0956440448858971,0.336363001141038,0.690823107058988
"72","one","CoNi","2",0.248491178531096,0.0596835929567163,0.28955714473089,0.778147834027706
"73","one","CoNi","3",0.118221048073242,0.0501125472155787,0.167071289214338,0.648693352986453
"74","one","CoNi","4",0.0979084490509985,0.0711783919841539,0.0781308208908094,0.191335069638918
"75","one","CoNi","5",0.0241230208364307,0.0433605650829172,0.0484294906233362,-0.19528777737659
"76","two","CoNi","1",0.267391868566391,0.0804330506513443,0.328164684013088,0.729889461200714
"77","two","CoNi","2",0.204425254810014,0.0751301264423354,0.296481210032562,0.700023330839034
"78","two","CoNi","3",0.131858745011648,0.0549924074203882,0.118609038035622,0.560882387735994
"79","two","CoNi","4",0.0978703024789862,0.0329363777362701,0.0901283995491386,0.649610583680064
"80","two","CoNi","5",0.0380607816541367,0.0227967664079287,0.0383029330142115,0.402942444407365
"81","one","CoZn","1",0.282338118312575,0.04797867661314,0.246538752035619,0.81856390663652
"82","one","CoZn","2",0.248491178531096,0.0525773856970465,0.218026818221695,0.774596538341446
"83","one","CoZn","3",0.118221048073242,0.0531779226468447,0.165693979309323,0.625395505570126
"84","one","CoZn","4",0.0979084490509985,0.0384143407972104,0.100492484766956,0.612760483955605
"85","one","CoZn","5",0.0241230208364307,0.0232255283708997,0.03945444183584,0.269378569238515
"86","two","CoZn","1",0.267391868566391,0.0627100472290939,0.239054902859137,0.752352860093945
"87","two","CoZn","2",0.204425254810014,0.0568851530546865,0.208513513752506,0.724486256145388
"88","two","CoZn","3",0.131858745011648,0.0320596029168563,0.157958043470185,0.778759518488931
"89","two","CoZn","4",0.0978703024789862,0.0280644497937151,0.103813710822243,0.721698816536351
"90","two","CoZn","5",0.0380607816541367,0.0194536593981868,0.0546081163732559,0.580146957344062
"91","one","CuMn","1",0.248899639301858,0.252924949959802,0.29510849297032,0.0701427609054236
